,champ_name,champ_popularity,champ_top_4_percentage,champ_top_1_percentage,average_placement,players_beaten,composite_score
1,Silco,0.9142857142857145,0.5423423423423425,0.46666666666666656,0.4208754208754209,0.5791245791245789,1.4934102934102933
18,Braum,1.0,0.33513513513513526,0.20833333333333334,0.6329966329966331,0.36700336700336683,1.3670033670033668
6,Jinx,0.8444444444444444,0.47747747747747765,0.3666666666666666,0.48821548821548827,0.5117845117845117,1.3562289562289562
3,Jayce,0.7777777777777778,0.5045045045045046,0.43749999999999994,0.45791245791245794,0.5420875420875418,1.3198653198653196
9,Orianna,0.8,0.4072072072072073,0.30000000000000004,0.558922558922559,0.44107744107744085,1.241077441077441
16,Ekko,0.8634920634920636,0.33873873873873883,0.18333333333333335,0.6363636363636364,0.3636363636363636,1.2271284271284273
5,Kai'Sa,0.6666666666666669,0.49549549549549554,0.47500000000000003,0.46127946127946134,0.5387205387205386,1.2053872053872055
4,Viktor,0.6285714285714288,0.5027027027027028,0.42916666666666664,0.45791245791245794,0.5420875420875418,1.1706589706589705
7,Tahm Kench,0.5523809523809524,0.46486486486486484,0.48749999999999993,0.48821548821548827,0.5117845117845117,1.064165464165464
31,Vi,0.7047619047619049,0.30630630630630634,0.2333333333333334,0.6565656565656567,0.34343434343434326,1.0481962481962481
29,Blitzcrank,0.688888888888889,0.30630630630630634,0.16249999999999998,0.6632996632996634,0.3367003367003366,1.0255892255892256
39,Rek'Sai,0.7142857142857144,0.2594594594594595,0.19999999999999998,0.7037037037037037,0.2962962962962962,1.0105820105820107
10,Jhin,0.5714285714285715,0.3981981981981983,0.3166666666666667,0.5656565656565657,0.4343434343434342,1.0057720057720057
0,Veigar,0.0,1.0,1.0,0.0,1.0,1.0
17,Seraphine,0.6095238095238096,0.3369369369369369,0.20833333333333334,0.6296296296296298,0.3703703703703701,0.9798941798941796
2,Galio,0.3650793650793651,0.5135135135135137,0.43749999999999994,0.44781144781144777,0.5521885521885521,0.9172679172679172
42,Gnar,0.6158730158730159,0.2558558558558559,0.0958333333333333,0.713804713804714,0.286195286195286,0.9020683020683019
35,Malzahar,0.5682539682539683,0.2900900900900902,0.20833333333333334,0.6666666666666666,0.3333333333333333,0.9015873015873017
12,Kha'Zix,0.47936507936507944,0.3675675675675676,0.2791666666666667,0.5959595959595958,0.4040404040404039,0.8834054834054834
36,Zac,0.5460317460317461,0.2828828828828829,0.24583333333333332,0.6801346801346801,0.31986531986531985,0.8658970658970659
8,Zeri,0.3396825396825397,0.46306306306306305,0.3625,0.5016835016835016,0.49831649831649827,0.837999037999038
34,Morgana,0.507936507936508,0.2954954954954955,0.19999999999999998,0.67003367003367,0.3299663299663301,0.8379028379028381
41,Sejuani,0.5333333333333334,0.2594594594594595,0.2041666666666666,0.7070707070707071,0.2929292929292928,0.8262626262626263
24,Zilean,0.4634920634920635,0.3207207207207207,0.2041666666666666,0.6464646464646465,0.3535353535353533,0.8170274170274168
15,Renata Glasc,0.43174603174603177,0.34054054054054056,0.30000000000000004,0.6195286195286196,0.38047138047138035,0.8122174122174122
33,Irelia,0.46984126984126984,0.29729729729729726,0.1,0.6767676767676768,0.3232323232323231,0.7930735930735929
32,Senna,0.4444444444444445,0.3027027027027028,0.19583333333333333,0.65993265993266,0.34006734006733985,0.7845117845117844
30,Sivir,0.4380952380952381,0.30630630630630634,0.07916666666666665,0.6734006734006736,0.3265993265993265,0.7646945646945646
20,Ahri,0.3873015873015873,0.3261261261261262,0.1916666666666667,0.6329966329966331,0.36700336700336683,0.7543049543049541
23,Kassadin,0.3777777777777777,0.32252252252252245,0.30416666666666664,0.6329966329966331,0.36700336700336683,0.7447811447811445
43,Leona,0.44761904761904764,0.24684684684684685,0.0833333333333333,0.7239057239057238,0.27609427609427606,0.7237133237133238
27,Zyra,0.34920634920634924,0.31891891891891894,0.23750000000000004,0.6498316498316499,0.3501683501683501,0.6993746993746993
19,Jarvan IV,0.3396825396825397,0.33513513513513526,0.0958333333333333,0.6464646464646465,0.3535353535353533,0.693217893217893
28,Camille,0.33333333333333337,0.31171171171171164,0.20833333333333334,0.65993265993266,0.34006734006733985,0.6734006734006732
50,Vex,0.4,0.2162162162162163,0.07083333333333337,0.7441077441077442,0.2558922558922557,0.6558922558922557
13,Alistar,0.24761904761904763,0.3675675675675676,0.23750000000000004,0.5959595959595958,0.4040404040404039,0.6516594516594516
37,Ezreal,0.3238095238095238,0.27207207207207224,0.1291666666666667,0.6969696969696969,0.3030303030303031,0.626839826839827
25,Draven,0.26666666666666666,0.3207207207207207,0.14166666666666664,0.653198653198653,0.34680134680134683,0.6134680134680135
14,Ashe,0.19999999999999998,0.3657657657657658,0.3541666666666667,0.6026936026936028,0.3973063973063971,0.5973063973063971
26,Darius,0.23174603174603173,0.31891891891891894,0.2958333333333334,0.6430976430976433,0.3569023569023568,0.5886483886483885
21,Cho'Gath,0.19365079365079366,0.3261261261261262,0.2583333333333333,0.6363636363636364,0.3636363636363636,0.5572871572871573
52,Ziggs,0.3142857142857143,0.20360360360360352,0.07916666666666665,0.7575757575757577,0.24242424242424232,0.5567099567099566
46,Swain,0.27619047619047615,0.2378378378378378,0.05416666666666666,0.7239057239057238,0.27609427609427606,0.5522847522847523
40,Syndra,0.2507936507936508,0.2594594594594595,0.07500000000000001,0.7171717171717172,0.28282828282828276,0.5336219336219336
53,Lucian,0.253968253968254,0.1981981981981982,0.04583333333333338,0.7710437710437712,0.2289562289562288,0.4829244829244828
49,Singed,0.2126984126984127,0.2306306306306307,0.10416666666666664,0.7441077441077442,0.2558922558922557,0.46859066859066845
47,Lulu,0.18730158730158733,0.236036036036036,0.1541666666666667,0.7239057239057238,0.27609427609427606,0.46339586339586336
44,Tryndamere,0.1841269841269841,0.24504504504504507,0.10833333333333336,0.7272727272727274,0.2727272727272725,0.4568542568542566
22,Talon,0.12063492063492062,0.32432432432432445,0.058333333333333307,0.6666666666666666,0.3333333333333333,0.4539682539682539
45,Warwick,0.15873015873015872,0.24504504504504507,0.07500000000000001,0.734006734006734,0.265993265993266,0.4247234247234247
11,Nocturne,0.03809523809523809,0.38018018018018035,0.016666666666666673,0.6262626262626262,0.3737373737373737,0.4118326118326118
48,Brand,0.1492063492063492,0.2306306306306307,0.041666666666666595,0.7407407407407409,0.25925925925925897,0.4084656084656082
51,Caitlyn,0.13333333333333333,0.21081081081081082,0.13333333333333336,0.7643097643097643,0.23569023569023573,0.36902356902356903
54,Corki,0.1746031746031746,0.15135135135135133,0.06666666666666667,0.8080808080808081,0.19191919191919196,0.3665223665223666
38,Twitch,0.031746031746031744,0.2684684684684685,0.0,0.7239057239057238,0.27609427609427606,0.3078403078403078
55,Poppy,0.10476190476190474,0.13693693693693695,0.1125,0.8282828282828284,0.17171717171717163,0.2764790764790764
56,Quinn,0.14285714285714285,0.12252252252252249,0.07083333333333337,0.8787878787878787,0.12121212121212128,0.2640692640692641
57,Miss Fortune,0.1492063492063492,0.11351351351351344,0.1458333333333333,0.8888888888888888,0.1111111111111111,0.2603174603174603
58,Gangplank,0.13333333333333333,0.043243243243243225,0.041666666666666595,0.952861952861953,0.047138047138047014,0.18047138047138034
59,Illaoi,0.1365079365079365,0.0,0.16249999999999998,1.0,0.0,0.1365079365079365
